Country,GER-Primary,GER-Secondary,GER-Tertiary,Sub-Region,Region,bottom-resource-flag
Finland,99.37,100.00,92.58,Northern Europe,Europe,41
Poland,98.14,98.41,68.45,Eastern Europe,Europe,42
Georgia,100.00,88.73,35.15,Western Asia,Asia,43
Denmark,100.00,100.00,77.72,Northern Europe,Europe,44
Costa Rica,100.00,99.31,45.37,Central America,Americas,45
Lithuania,98.77,100.00,79.78,Northern Europe,Europe,46
Sweden,100.00,100.00,73.33,Northern Europe,Europe,47
Jordan,97.85,90.10,41.55,Western Asia,Asia,48
Sri Lanka,98.97,98.86,17.68,Southern Asia,Asia,49
Montenegro,100.00,95.57,35.62,Southern Europe,Europe,50
Turkey,100.00,87.31,48.96,Western Asia,Asia,51
Portugal,100.00,100.00,62.13,Southern Europe,Europe,52
Cabo Verde,100.00,83.21,14.54,Western Africa,Africa,53
Barbados,98.06,100.00,67.68,Caribbean,Americas,54
Slovenia,100.00,100.00,83.40,Southern Europe,Europe,55
Panama,100.00,71.50,42.81,Central America,Americas,56
Netherlands,100.00,100.00,64.95,Western Europe,Europe,57
Hungary,100.00,99.67,61.48,Eastern Europe,Europe,58
Czech Republic,100.00,97.12,58.45,Eastern Europe,Europe,59
Austria,100.00,99.34,62.27,Western Europe,Europe,60
Israel,100.00,100.00,62.11,Western Asia,Asia,61
Italy,100.00,100.00,65.24,Southern Europe,Europe,62
Greece,99.24,100.00,96.84,Southern Europe,Europe,63
Spain,100.00,100.00,76.43,Southern Europe,Europe,64
Seychelles,100.00,76.61,3.33,Eastern Africa,Africa,65
Luxembourg,99.15,98.44,14.66,Western Europe,Europe,66
Ireland,100.00,100.00,60.42,Northern Europe,Europe,67
Germany,100.00,100.00,63.27,Western Europe,Europe,68
France,100.00,100.00,57.46,Western Europe,Europe,69
Cyprus,100.00,96.60,43.15,Western Asia,Asia,70
Belgium,100.00,100.00,66.14,Western Europe,Europe,71
Switzerland,100.00,96.21,50.88,Western Europe,Europe,72
Mauritius,100.00,90.12,30.27,Eastern Africa,Africa,73
Malta,93.61,94.75,39.06,Southern Europe,Europe,74
Maldives,100.00,69.82,11.85,Southern Asia,Asia,75
Liechtenstein,100.00,100.00,35.21,Western Europe,Europe,76
Lebanon,100.00,76.30,46.27,Western Asia,Asia,77
Japan,100.00,100.00,58.07,Eastern Asia,Asia,78
Iceland,98.39,100.00,74.79,Northern Europe,Europe,79
Aruba,100.00,98.72,31.02,Caribbean,Americas,80